tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,genre1,genre2,genre3,url,averageRating,numVotes
tt0093191,movie,Wings of Desire,Der Himmel über Berlin,0,1987,,128,"Drama,Fantasy,Romance",Drama,Fantasy,Romance,https://www.imdb.com/title/tt0093191,8.0,64332
tt0093260,movie,Innerspace,Innerspace,0,1987,,120,"Action,Adventure,Comedy",Action,Adventure,Comedy,https://www.imdb.com/title/tt0093260,6.8,54075
tt0093300,movie,Jaws: The Revenge,Jaws: The Revenge,0,1987,,89,"Adventure,Horror,Thriller",Adventure,Horror,Thriller,https://www.imdb.com/title/tt0093300,3.0,41059
tt0093378,movie,La Bamba,La Bamba,0,1987,,108,"Biography,Drama,Music",Biography,Drama,Music,https://www.imdb.com/title/tt0093378,6.9,28482
tt0093389,movie,The Last Emperor,The Last Emperor,0,1987,,163,"Biography,Drama,History",Biography,Drama,History,https://www.imdb.com/title/tt0093389,7.7,93791
tt0093409,movie,Lethal Weapon,Lethal Weapon,0,1987,,109,"Action,Crime,Thriller",Action,Crime,Thriller,https://www.imdb.com/title/tt0093409,7.6,235911
tt0093428,movie,The Living Daylights,The Living Daylights,0,1987,,130,"Action,Adventure,Thriller",Action,Adventure,Thriller,https://www.imdb.com/title/tt0093428,6.7,88862
tt0093437,movie,The Lost Boys,The Lost Boys,0,1987,,97,"Comedy,Horror",Comedy,Horror,,https://www.imdb.com/title/tt0093437,7.3,123625
tt0093493,movie,Mannequin,Mannequin,0,1987,,90,"Comedy,Fantasy,Romance",Comedy,Fantasy,Romance,https://www.imdb.com/title/tt0093493,6.0,29034
tt0093507,movie,Masters of the Universe,Masters of the Universe,0,1987,,106,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,https://www.imdb.com/title/tt0093507,5.4,36777
tt0093560,movie,The Monster Squad,The Monster Squad,0,1987,,79,"Action,Comedy,Fantasy",Action,Comedy,Fantasy,https://www.imdb.com/title/tt0093560,7.1,28286
tt0093565,movie,Moonstruck,Moonstruck,0,1987,,102,"Comedy,Drama,Romance",Comedy,Drama,Romance,https://www.imdb.com/title/tt0093565,7.1,49811
tt0093605,movie,Near Dark,Near Dark,0,1987,,94,"Action,Crime,Drama",Action,Crime,Drama,https://www.imdb.com/title/tt0093605,7.0,33721
tt0093629,movie,A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street 3: Dream Warriors,0,1987,,96,"Fantasy,Horror",Fantasy,Horror,,https://www.imdb.com/title/tt0093629,6.6,70682
tt0093640,movie,No Way Out,No Way Out,0,1987,,114,"Action,Crime,Drama",Action,Crime,Drama,https://www.imdb.com/title/tt0093640,7.1,35281
tt0093692,movie,Over the Top,Over the Top,0,1987,,93,"Action,Drama,Sport",Action,Drama,Sport,https://www.imdb.com/title/tt0093692,5.8,50156
tt0093693,movie,Overboard,Overboard,0,1987,,112,"Comedy,Romance",Comedy,Romance,,https://www.imdb.com/title/tt0093693,6.9,52396
tt0093748,movie,"Planes, Trains & Automobiles","Planes, Trains & Automobiles",0,1987,,93,"Comedy,Drama",Comedy,Drama,,https://www.imdb.com/title/tt0093748,7.6,124097
tt0093756,movie,Police Academy 4: Citizens on Patrol,Police Academy 4: Citizens on Patrol,0,1987,,88,"Comedy,Crime",Comedy,Crime,,https://www.imdb.com/title/tt0093756,5.0,40067
tt0093773,movie,Predator,Predator,0,1987,,107,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,https://www.imdb.com/title/tt0093773,7.8,369816
tt0093777,movie,Prince of Darkness,Prince of Darkness,0,1987,,102,Horror,Horror,,,https://www.imdb.com/title/tt0093777,6.7,37350
tt0093779,movie,The Princess Bride,The Princess Bride,0,1987,,98,"Adventure,Family,Fantasy",Adventure,Family,Fantasy,https://www.imdb.com/title/tt0093779,8.0,392039
tt0093818,movie,Radio Days,Radio Days,0,1987,,88,Comedy,Comedy,,,https://www.imdb.com/title/tt0093818,7.5,31452
